record_id,category,component,owning_contract,current_level,evidence_state,trust_seam,target_cutover,rollback_double_trade,queued_work_direct_egress,operator_state_owner,decommission_criteria,authority_state
LEGACY-001,LEGACY_ROUTE,services/trading/orchestrator.py stock route,RFC-002 §10.7/10.8 and RFC-005,PROJECT_RUNTIME_CONFIGURED_DEPLOYMENT_NOT_OBSERVED,OUTSIDE_TOS_EVIDENCE,Direct OrderExecutor stock send bypasses TOS engine IAP RCL and egressgw,One accepted TOS path with real authority services and broker adapter; exact scope shadow then operator cutover,Return to fenced single route only; startup and credential route interlock prohibit overlap,Invalidate old generation and pending signals; remove stock OrderExecutor caller and network credential route after broker finality,TBD-consolidated-operator-safety-state-owner,All attempts have Final Quantity and reconciliation; replacement proven; old imports credentials routes and deployment entry removed,NON_AUTHORIZING_OPEN
LEGACY-002,LEGACY_ROUTE,services/trading/orchestrator.py futures route,RFC-002 §10.7/10.8 and RFC-005,ROADMAP_CURRENT_MONOLITH_DEPLOYMENT_NOT_OBSERVED,OUTSIDE_TOS_EVIDENCE,Direct OrderExecutor futures send bypasses TOS engine IAP RCL and egressgw,One accepted TOS path with real authority services and broker adapter; F-9 and TOS gates remain operator-owned,Return to fenced monolith or no-new-entry scope; never run monolith and new wallet path together,Generation-fence raw and final streams; remove futures OrderExecutor caller and credential route only after broker finality,TBD-consolidated-operator-safety-state-owner,All fills cancels replacements and brackets reconciled; no queued signal; replacement evidence and rollback drill complete,NON_AUTHORIZING_OPEN
LEGACY-003,LEGACY_ROUTE,services/order_router/main.py futures decoupled route,RFC-002 §10.8 and docs/runbooks/futures-pipeline-cutover-f9.md,DORMANT_PROFILE_GATED_LIVE_CAPABLE,OUTSIDE_TOS_EVIDENCE,PassiveMaker KISFuturesAdapter LiveExitExecutor and OrderExecutor are project controls not TOS authority,Keep dormant until single-route project cutover; later replace with accepted TOS egress service,Mode plus credential and network route interlock permit one wallet path; rollback invalidates new-generation work,Invalidate consumer groups and outstanding stream entries by generation; remove direct adapter send after finality,TBD-consolidated-operator-safety-state-owner,F-9 rollback proof plus broker reconciliation; TOS replacement accepted; old profile command credentials and routes removed,NON_AUTHORIZING_OPEN
LEGACY-004,LEGACY_ROUTE,services/stock_order_router/main.py stock decoupled route,RFC-005,PAPER_SHADOW_VIRTUAL_BROKER_ONLY,OUTSIDE_TOS_EVIDENCE,VirtualBroker and Redis working store are simulation/read models and not authority,Remain paper-only until a separately governed TOS stock cutover exists,Disable producer/consumer generation before rollback; live credential route must remain absent,Invalidate shadow stream and working-store generation; no direct live egress exists to remove,TBD-consolidated-operator-safety-state-owner,Replacement paper parity proven and no consumer depends on old stream/store; deletion is separately approved,NON_AUTHORIZING_OPEN
LEGACY-005,LEGACY_ROUTE,shared/execution/executor.py shared direct broker sender,RFC-002 §10.8 and ADR-002-013,PROJECT_SHARED_SEND_IMPLEMENTATION,OUTSIDE_TOS_EVIDENCE,Multiple project callers can construct sends; KIS response and process health are not TOS commit proof,Real broker transport only behind accepted single credential-confined TOS gateway with exact unchanged binding,Retain code read-only only for rollback while exactly one credential route is active; otherwise no-new-send,Drain and reconcile every accepted order; remove all non-gateway imports credentials endpoints and network policy,TBD-consolidated-operator-safety-state-owner,Negative code route credential and network proof plus broker reconciliation and replacement evidence,NON_AUTHORIZING_OPEN
LEGACY-006,LEGACY_ROUTE,scripts/trading/flatten_all.py operator emergency flat-all route,RFC-002 §10.8 and ADR-002-013 and ADR-002-011,OPERATOR_CLI_LIVE_CAPABLE_REAL_MARKET_DEFAULT,OUTSIDE_TOS_EVIDENCE,Operator CLI builds a real KISClient and OrderExecutor and issues per-position market-close orders through KISFuturesAdapter outside TOS engine IAP RCL and egressgw; KIS_FUTURES_MARKET defaults to real when the env var is unset; --confirm gates only the CLI path while the in-process flatten_all_async seam has no confirm gate and no wired producer today,Protective flatten must route through an accepted TOS protective path and the single credential-confined gateway; no cutover is claimed scheduled or authorized by this row,Reduce-only by intent but unfenced; an operator run can overlap services/trading/orchestrator.py _kill_switch_flatten_all or a future kill-switch consumer and double-send closes for one position; exactly one close route may be active,Drain and reconcile every issued market-close to Final Quantity; remove the direct OrderExecutor caller price feed and network credential route only after broker finality,TBD-consolidated-operator-safety-state-owner,Accepted TOS protective replacement proven with reconciliation evidence; negative code route credential and network proof; operator runbook repointed and the script entrypoint and imports removed,NON_AUTHORIZING_OPEN
LEGACY-007,LEGACY_ROUTE,scripts/trading/recover_positions.py futures startup reconciliation barrier,RFC-002 §23 and ADR-002-017 and ADR-002-006,OPERATOR_CLI_LIVE_BROKER_READ_BARRIER_UNCONSUMED,OUTSIDE_TOS_EVIDENCE,Builds a real KISClient with the same real-market default and reads futures balance; sends no order; the divergence verdict and sentinel file are project controls not a TOS Recovery Coordinator or Reconciliation Service; the sentinel /var/run/kis_position_recovery.tripped has no consumer in this repo and services/order_router/main.py honours only the separate kill-switch sentinel; the documented clear script scripts/recover_positions_clear.sh does not exist,Startup reconciliation and resume authority must move to an accepted TOS recovery barrier and Reconciliation Service; no cutover is claimed scheduled or authorized by this row,No order egress exists here; the double-trade risk is indirect — because no process reads the sentinel a divergent broker view does not actually block resume and the barrier must not be relied on as a fence,No queued order work to drain; retire the sentinel contract credential route and readiness-check reference only after an accepted barrier owns resume,TBD-consolidated-operator-safety-state-owner,Accepted TOS recovery barrier and reconciliation evidence replace the sentinel; a real consumer and clear path exist or the contract is withdrawn; scripts/ops/ops_readiness_check.py reference repointed and the credential route and script entrypoint removed,NON_AUTHORIZING_OPEN
OPERATOR-001,OPERATOR_VIEW,consolidated operator safety state,ADR-DEV-014 plus proposed owner contract,NOT_IMPLEMENTED_FRAGMENTED_READ_MODELS,OBS-EV-001..006 NOT_IMPLEMENTED,Dashboards caches and healthy processes can disagree and none owns authority,Named owner publishes one freshness and generation bound projection of all eight mechanisms while source authorities remain authoritative,Projection rollback cannot alter authority; source gates continue fail-closed,Invalidate stale projection generations; projection has no egress or command capability,TBD-consolidated-operator-safety-state-owner,Replacement view proves complete source coverage conflict handling freshness and alert ownership; old views de-indexed after operator review,NON_AUTHORIZING_OPEN
TOS-afg,TOS_PACKAGE,tos.afg,ADR-002-022,L1_PURE_PREDICATE_SUBSTRATE,AFG-EV 4 READY 8 NOT_IMPLEMENTED,Injected bounds and future AFG/RCL owning runtime; package grants no flow capacity,Bind accepted predicates into real coordinator RCL and currentness services after evidence,No activation today; rollback registration only and preserve one active flow authority,Invalidate dependent permits by generation; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No registered consumer or permit remains and accepted replacement preserves retry/protective traffic invariants,NON_AUTHORIZING_OPEN
TOS-are,TOS_PACKAGE,tos.are,ADR-002-021,L1_PURE_PREDICATE_SUBSTRATE,ARE-EV 3 READY 9 NOT_IMPLEMENTED,Injected models and future Aggregate Risk Authority; no numeric simulator or authority,Bind approved risk profile and real Aggregate Risk Authority before cutover,No activation today; one aggregate risk authority per scope,Invalidate dependent decisions; package has no direct egress,TBD-consolidated-operator-safety-state-owner,No decision dependency remains and accepted replacement preserves no-unproven-benefit and UNKNOWN restriction,NON_AUTHORIZING_OPEN
TOS-authority,TOS_PACKAGE,tos.authority,ADR-002-003,L1_PURE_PREDICATE_SUBSTRATE,SA-EV 15 NOT_IMPLEMENTED,No leader election consensus epoch registry or fencing runtime,Real Safety Authority with fenced epoch and evidence before cutover,No activation today; never permit two epoch writers,Invalidate old epoch work; package has no direct egress,TBD-consolidated-operator-safety-state-owner,All leases and epochs expired or fenced and accepted replacement proves partition behavior,NON_AUTHORIZING_OPEN
TOS-backtest,TOS_PACKAGE,tos.backtest,RFC-003/RFC-005 project design D-E3,PROVISIONAL_VERTICAL_SLICE,NO_DIRECT_REGISTER_FAMILY_CLOSES_NO_EV,Synthetic fills and provisional engine make output inadmissible as live or expectancy evidence,Use only after production canonicalization real authorities and approved evidence profile,No runtime activation; rollback removes harness registration only,No live queued work or egress; synthetic results never reach broker,TBD-consolidated-operator-safety-state-owner,No evidence package depends on it or accepted replacement retains replay and parity controls,NON_AUTHORIZING_OPEN
