question_id,rfc,source_section,question_summary,source_marking,disposition,canonical_resolution,deferred_artifact,accountable_owner,rationale,trigger,scope_restriction,decision_state
RFC-003-Q1,RFC-003,§16 Q1,Portfolio reasoning versus per-instrument proposals,RESOLVED,RESOLVED_IN_CANONICAL_TEXT,RFC-003 §9.1 and §11 item 16 record per-target proposal and approval binding with declared interdependence,,System Owner,Canonical text directly answers both branches,Material change to RFC-003 §9.1 or cited ADR-DEV-007/ADR-002-023,No aggregated authority,SOURCE_CONFIRMED
RFC-003-Q2,RFC-003,§16 Q2,Minimum long-horizon decision-evidence granularity,OPEN,EXPLICITLY_DEFERRED,,ADR-002-016 plus ADR-DEV-002 Evidence Granularity amendment,Evidence Authority,The evidence and artifact-identity owners must define a reconstructable minimum without granting authority,Before accepting either ADR or admitting a decision artifact,Decision artifacts without the approved minimum are inadmissible,DRAFT_PENDING_SYSTEM_OWNER
RFC-003-Q3,RFC-003,§16 Q3,Stochastic or external-value recomputation independence,RESOLVED_WITH_RESIDUAL,RESOLVED_IN_CANONICAL_TEXT,RFC-003 §10 makes determining non-recomputable values non-approvable and permits only soft non-determining evidence,,System Owner,The determining-value rule is resolved; market-specific classification remains a separate RFC-004 profile question,Material change to RFC-003 §10 or SAFE-034,Relabeling cannot avoid Critical Input treatment,SOURCE_CONFIRMED
RFC-003-Q4,RFC-003,§16 Q4,No-action versus explicit flat,RESOLVED,RESOLVED_IN_CANONICAL_TEXT,RFC-003 §9.1 distinguishes hold from an explicit reduction proposal,,System Owner,Canonical text directly answers the question,Material change to RFC-003 §9.1 or ADR-DEV-007,No-action cannot encode a reduction,SOURCE_CONFIRMED
RFC-003-Q5,RFC-003,§16 Q5,Concrete companion models and expectancy realism,OPEN,EXPLICITLY_DEFERRED,,Economic Viability Profile plus Market Risk Execution and Hedge Profiles,Investment Authority,Human-owned profiles must bind the concrete models and the ECO evidence family without inventing bounds,Before any CONST-003 completion or strategy admission claim,No strategy completes CONST-003 while any required profile or ECO evidence is incomplete,DRAFT_PENDING_SYSTEM_OWNER
RFC-003-Q6,RFC-003,§16 Q6,Decision with degraded or unavailable companion model,OPEN,EXPLICITLY_DEFERRED,,ADR-DEV-008 degraded companion amendment,Development Architecture Owner,ADR-DEV-008 already owns restrictive degraded-companion semantics,Before accepting ADR-DEV-008 or enabling a degraded companion path,Unknown or unavailable companion state yields no new authority,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q1,RFC-004,§15 Q1,Formal market-regime definition,OPEN,EXPLICITLY_DEFERRED,,Market Regime Profile,Market Model Owner,Regime taxonomy and approved features are scope-specific human-owned model choices,Before a regime label can determine an admitted decision input,Unprofiled regime is UNKNOWN and non-determining,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q2,RFC-004,§15 Q2,Shared versus decoupled volatility and correlation estimates,OPEN,EXPLICITLY_DEFERRED,,Estimator Coordination Profile,Market Model Owner plus Risk Model Owner,Common-mode and intentional-decoupling treatment needs an explicit jointly owned profile,Before either estimate can affect risk sizing or regime admission,No benefit from agreement or divergence until profile-bound,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q3,RFC-004,§15 Q3,VI halt or price-limit state representation,OPEN,EXPLICITLY_DEFERRED,,Market Context Continuity Profile plus ADR-002-018 and ADR-002-019,Market Data Owner,Acquisition continuity and venue-state admission belong upstream of the decision model,Before the first VI or price-limit affected input is admitted,Affected scope cannot create new risk while state is missing stale or contradictory,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q4,RFC-004,§15 Q4,Mini versus full KOSPI200 product model,OPEN,EXPLICITLY_DEFERRED,,Instrument Model Profile,Market Model Owner,Multiplier tick and product identity must be versioned instead of chosen by convention,Before either product feeds a determining model,Unsupported product or unbound parameters are inadmissible,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q5,RFC-004,§15 Q5,KRX rule-set version pin and refresh trigger,OPEN,EXPLICITLY_DEFERRED,,Market Rules Source Profile,Market Data Owner,Rule provenance currency and invalidation require an accountable source profile,Before venue constraints are admitted and whenever source revision is detected,Stale or unpinned rules restrict affected scope,DRAFT_PENDING_SYSTEM_OWNER
RFC-004-Q6,RFC-004,§15 Q6,Impact boundary between market property and execution realization,OPEN,EXPLICITLY_DEFERRED,,Execution Cost and Impact Profile,Execution Model Owner plus Market Model Owner,A shared versioned schema must prevent inconsistent impact assumptions without prescribing tactics in RFC-004,Before impact enters expectancy or order planning,No cross-model impact benefit is recognized without a common profile,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q1,RFC-005,§16 Q1,Execution optimizer versus heuristic slicing,OPEN,EXPLICITLY_DEFERRED,,Execution Policy Profile,Execution Model Owner,The realizable algorithm is broker and scope dependent and cannot be selected informally,Before an execution planner is admitted,No unprofiled tactic may transmit or claim benchmark quality,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q2,RFC-005,§16 Q2,Execution benchmark by asset pipeline,OPEN,EXPLICITLY_DEFERRED,,Execution Benchmark Profile,Investment Authority plus Execution Model Owner,Benchmark selection is an investment-evaluation decision and may differ only by an approved scope binding,Before performance attribution or ECO evidence,No benchmark-relative PASS without the approved profile,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q3,RFC-005,§16 Q3,Temporary and permanent impact with limited depth,OPEN,EXPLICITLY_DEFERRED,,Execution Cost and Impact Profile,Execution Model Owner,Estimation method and uncertainty need data-coverage and model-error declarations,Before impact benefit or cost is used in sizing or ECO evidence,Unknown impact is conservative and cannot improve expectancy,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q4,RFC-005,§16 Q4,Call-auction execution planning,OPEN,EXPLICITLY_DEFERRED,,Venue-Phase Execution Profile,Execution Model Owner,Call auction has distinct venue and fill semantics that require a scoped profile,Before any call-auction order path is admitted,Call-auction participation is disabled outside an approved profile,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q5,RFC-005,§16 Q5,Retry after UNKNOWN outcome,OPEN,EXPLICITLY_DEFERRED,,ADR-002-002 plus ADR-002-022 plus Broker Capability Profile,Execution Safety Owner,Existing Proposed safety ADRs and broker capability facts own identity reconciliation and action-flow preconditions,Before any retry after UNKNOWN is enabled,UNKNOWN forbids blind retry and retains capacity,DRAFT_PENDING_SYSTEM_OWNER
RFC-005-Q6,RFC-005,§16 Q6,Shared execution-cost apparatus for expectancy,OPEN,EXPLICITLY_DEFERRED,,Execution Cost and Impact Profile plus Economic Viability Profile,Execution Model Owner plus Investment Authority,One version binding is required to prevent backtest runtime and evaluation cost drift,Before ECO evidence can leave NOT_IMPLEMENTED,Inconsistent or unbound cost models make the result INCONCLUSIVE,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q1,RFC-006,§17 Q1,VaR or ES estimation method by scope,OPEN,EXPLICITLY_DEFERRED,,Risk Methodology Profile,Risk Authority,Estimator selection and model-risk bounds are human-owned and product/account specific,Before any measure can set a risk bound,Unprofiled estimates cannot grant capacity or authority,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q2,RFC-006,§17 Q2,Primary tail-risk measure,OPEN,EXPLICITLY_DEFERRED,,Risk Methodology Profile,Risk Authority,Measure precedence changes interpretation and must be explicitly approved,Before risk measures determine sizing limits or admission,Conflicting measures resolve conservatively,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q3,RFC-006,§17 Q3,Shared versus decoupled market and risk estimates,OPEN,EXPLICITLY_DEFERRED,,Estimator Coordination Profile,Market Model Owner plus Risk Authority,The common-mode and decoupling policy is jointly owned,Before volatility or correlation affects sizing,No diversification or stability benefit without profile proof,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q4,RFC-006,§17 Q4,Portfolio measure versus asset-class sub-limits,OPEN,EXPLICITLY_DEFERRED,,Investment Mandate and Allocation Profile,Investment Authority plus Risk Authority,Investment allocation and risk-capacity authorization are different decisions and need explicit ownership,Before cross-asset capital allocation,No cross-asset netting or capital transfer is authorized,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q5,RFC-006,§17 Q5,Drawdown control layer,OPEN,EXPLICITLY_DEFERRED,,Drawdown Control Profile,Investment Authority plus Risk Authority,Drawdown magnitude duration and recovery policy affect economics and risk independently of consecutive-loss rules,Before drawdown state can alter sizing or retirement,Missing profile restricts new risk and cannot auto-retire or auto-promote,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q6,RFC-006,§17 Q6,Restricted-live positive-expectancy evidence,OPEN,EXPLICITLY_DEFERRED,,Economic Viability Profile plus ECO-EV-001..012,Investment Authority plus independent evidence reviewer,A dedicated economic family is required because RLP trial governance does not prove expectancy,Before any CONST-003 completion claim,RLP PASS without ECO completion remains CONST-003 INCOMPLETE,DRAFT_PENDING_SYSTEM_OWNER
RFC-006-Q7,RFC-006,§17 Q7,Benefit-recognition proofs and unsupported broker/product scopes,OPEN,EXPLICITLY_DEFERRED,,Benefit Recognition Profile plus ADR-002-021,Risk Authority,Netting hedge and correlation benefit need explicit proofs and capability scope,Before any benefit reduces worst-credible risk,Unproven benefit is zero and unsupported scope remains non-live,DRAFT_PENDING_SYSTEM_OWNER
RFC-007-Q1,RFC-007,§16 Q1,Hedge-ratio method and estimation window,OPEN,EXPLICITLY_DEFERRED,,Hedge Model Profile,Investment Authority plus Hedge Model Owner,Method window and regime treatment determine investment economics and need an approved version,Before hedge benefit is recognized,Unprofiled hedge ratio grants no benefit,DRAFT_PENDING_SYSTEM_OWNER
RFC-007-Q2,RFC-007,§16 Q2,Mini or full product sizing rounding and basis,OPEN,EXPLICITLY_DEFERRED,,Hedge Instrument and Rounding Profile,Hedge Model Owner plus Risk Authority,Product multiplier rounding and residual basis must be explicit and capability-bound,Before hedge orders or benefit recognition,Residual basis is counted conservatively,DRAFT_PENDING_SYSTEM_OWNER
RFC-007-Q3,RFC-007,§16 Q3,Expiry roll policy and staging,OPEN,EXPLICITLY_DEFERRED,,Hedge Roll Profile,Hedge Model Owner plus Execution Model Owner,Roll timing overlap and liquidity create separate risk and execution obligations,Before any automated roll path is enabled,Roll is operator-gated or disabled without an approved profile,DRAFT_PENDING_SYSTEM_OWNER
RFC-007-Q4,RFC-007,§16 Q4,Benchmark proxy for non-index-representative book,OPEN,EXPLICITLY_DEFERRED,,Investment Mandate and Allocation Profile plus Hedge Model Profile,Investment Authority,Proxy choice and re-estimation frequency are mandate decisions and determine claimed hedge benefit,Before portfolio beta informs capital or hedge sizing,No proxy-based benefit without mandate binding,DRAFT_PENDING_SYSTEM_OWNER
RFC-007-Q5,RFC-007,§16 Q5,Overnight global-event gap treatment,OPEN,EXPLICITLY_DEFERRED,,Overnight Residual Risk Decision,Risk Authority plus Investment Authority,Residual-risk acceptance or compensating control is a human authority act,Before overnight risk is admitted,Overnight exposure stays within the currently narrower approved scope,DRAFT_PENDING_SYSTEM_OWNER
