evidence_id,domain,title,primary_adr,criticality,minimum_evidence_level,status,implementation_owner,evidence_owner,independent_reviewer,verification_profile_version,broker_capability_profile_version,latest_run_id,latest_result_date,evidence_location,notes
RC-EV-001,Risk Capacity,Concurrent Commitment Serialization,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-002,Risk Capacity,Duplicate Active Ledger Writer,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-003,Risk Capacity,Crash Before Send,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-004,Risk Capacity,Crash After Send Boundary,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-005,Risk Capacity,Acknowledgement Loss,ADR-002-002,Critical,EV-L3+Broker,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-006,Risk Capacity,Partial Fill Transfer,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-007,Risk Capacity,Cancel Crossing Fill,ADR-002-002,Critical,EV-L3+Broker,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-008,Risk Capacity,Replace Overlap,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-009,Risk Capacity,Reservation Expiry,ADR-002-002,Critical,EV-L2,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-010,Risk Capacity,External Activity Quarantine,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-011,Risk Capacity,Broker Query Omission,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-012,Risk Capacity,Protective Lease Partition,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-013,Risk Capacity,Protective Lease Expiry,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-014,Risk Capacity,Trapped Exposure,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-015,Risk Capacity,Corporate Action Remap,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-016,Risk Capacity,Hard Envelope Enforcement,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-017,Risk Capacity,Startup Recovery Barrier,ADR-002-002,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
RC-EV-018,Risk Capacity,Capacity Evidence Replay,ADR-002-002,Critical,EV-L2,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-001,Safety Authority,Duplicate Active Safety Authority,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-002,Safety Authority,Stale Leader Resume,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-003,Safety Authority,Partition After Normal Grant,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
SA-EV-004,Safety Authority,Valid Degraded Protective Lease,ADR-002-003,Critical,EV-L3,NOT_IMPLEMENTED,TBD,TBD,TBD,TBD,N/A,,,,
